IBOV - Carteira do Dia 10/07/24
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;409.490.388;0,570;2,114;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON  EJ  NM;1.280.079.284;1,544;2,114;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;240.822.651;0,178;2,599;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.394.332.306;0,854;2,599;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON  EJ  NM;1.144.776.793;1,567;2,599;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;428.737.358;0,092;0,828;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;514.122.351;0,736;0,828;
Telecomunicação;VIVT3;TELEF BRASIL;ON;408.343.528;0,914;1,527;
Telecomunicação;TIMS3;TIM;ON      NM;807.896.814;0,613;1,527;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;340.001.799;1,372;1,372;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.868.640.510;0,940;11,224;
Utilidade Públ / Energ Elétrica;CPLE6;COPEL;PNB     N2;1.679.233.590;0,804;11,224;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,300;11,224;
Utilidade Públ / Energ Elétrica;ELET3;ELETROBRAS;ON      N1;1.945.040.784;3,590;11,224;
Utilidade Públ / Energ Elétrica;ELET6;ELETROBRAS;PNB     N1;268.733.136;0,550;11,224;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;326.265.871;0,748;11,224;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.579.630.820;1,001;11,224;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,559;11,224;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.155.467.134;1,851;11,224;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,363;11,224;
Utilidade Públ / Energ Elétrica;TRPL4;TRAN PAULIST;PN      N1;395.801.044;0,518;11,224;
Quantidade Teórica Total;;;;95.381.185.532;100,000;100,000
Redutor;;;;16.431.495,23476250
